Catagory ,Tool ,Location ,Training Required?,Service/Cost ,Academic level ,Who can use this space?,Notes,Software,Website
3D printing,Formlabs Form2 SLA printer,"STAMPS Studios, Penny W. Stamps School of Art & Design
2000 Bonisteel Blvd, Ann Arbor MI 48109-2069","No, can only be operated directly by staff","-$0.21/mL: Clear (v4), White (v4), 
Grey (v4), Black (v4), Draft, 
Model/Model v2, Rigid 1K

-$0.28/mL: Tough 1500, Tough 2000, 
Durable, Elastic 50A, Flexible 80A, 
Grey Pro, High Temp

-$0.36/mL: Rigid 4k, Flame Retardant

-$0.43/mL: Castable Wax, Rigid 10K",TBD,STAMPS Students only,"Materials: SLA resin 

Tolerance:  ± 0.2%
Bed: 145 × 145 × 175 mm (5.7 × 5.7 × 6.9 in)
Print speed: Varies


Prints are always solid unless designed to be hollow",,STAMPS Studio Canvas 
3D printing,Formlabs Form3L SLA printer,"STAMPS Studios, Penny W. Stamps School of Art & Design
2000 Bonisteel Blvd, Ann Arbor MI 48109-2069","No, can only be operated directly by staff","-$0.21/mL: Clear (v4), White (v4), 
Grey (v4), Black (v4), Draft, 
Model/Model v2, Rigid 1K

-$0.28/mL: Tough 1500, Tough 2000, 
Durable, Elastic 50A, Flexible 80A, 
Grey Pro, High Temp

-$0.36/mL: Rigid 4k, Flame Retardant

-$0.43/mL: Castable Wax, Rigid 10K",TBD,STAMPS Students only,"Materials: SLA resin 

Tolerance:  ± 0.2%
Bed: 33.5 × 20 × 30 cm (13.2 × 7.9 × 11.8 in)
Print speed: Varies


Prints are always solid unless designed to be hollow",,STAMPS Studio Canvas 
3D printing,Formlabs FUSE 1 SLS Printer,"STAMPS Studios, Penny W. Stamps School of Art & Design
2000 Bonisteel Blvd, Ann Arbor MI 48109-2069","No, can only be operated directly by staff","-$0.15/g: Nylon 12 Powder for Fuse1 
SLS",TBD,STAMPS Students only,"SLS powder prints are printed on Fridays. The build chamber must be filled t
o at least 30% density with parts before run  will not be run on a daily basis 
like the rest of the machines. 

Materials: Nylon 12 

Tolerance:  ± 0.3%
Bed: 16.5cm×16.5cm×30.0cm
Print speed: Varies


Prints are always solid unless designed to be hollow",,STAMPS Studio Canvas 
Other,Roland GX-400 Vinyl Cutter,"STAMPS Studios, Penny W. Stamps School of Art & Design
2000 Bonisteel Blvd, Ann Arbor MI 48109-2069","Yes, students must take ""Laser cutting training quiz"" and read theough 
the ""Vinyl cutting guide"" See Canvas for video/quiz links. (link in website
column)


Signed form/Staff supervision required","Materials are student provided 
and staff approved. See website 
section for materials resources",TBD,STAMPS Students only,"Tool must be reserved via studio staff or Digifab studio sign up form &
Web checkout form.

Max media width: 2 to 39 in. (50 to 700 mm)
Max cutting thickness: .04"" (1 mm)
Accuracy: ±0.2 %
Max cutting speed: 10 to 850 mm/sec. (in increments of 10 mm/sec.)",,"STAMPS Studio Canvas 

https://umich.instructure.com/courses/397994/pages/laser-cutting-and-vinyl-cutting"
Other,Heat Press,"STAMPS Studios, Penny W. Stamps School of Art & Design
2000 Bonisteel Blvd, Ann Arbor MI 48109-2069",TBD,TBD,TBD,STAMPS Students only,,,"STAMPS Studio Canvas 

https://umich.instructure.com/courses/397994/pages/laser-cutting-and-vinyl-cutting"
Co2 laser,ILS 12.15 Universal Laser Cutter,"STAMPS Studios, Penny W. Stamps School of Art & Design
2000 Bonisteel Blvd, Ann Arbor MI 48109-2069","Yes, Students must coordinate with studio staff for a demo session
and must take ""Laser cutting training quiz"" and read theough 
the ""Laser cutting guide"" See Canvas for video/quiz links. (link in website
column)


Signed form/Staff supervision required","Materials are student provided 
and staff approved. See website 
section for materials resources",TBD,STAMPS Students only,"Tool must be reserved via studio staff or Digifab studio sign up form &
Web checkout form.

Materials: Acrylic, Glass (etch), Wood, Ceramic (etch), Acetate, 
Cardboard, Paper and more

Tolerance:  ±0.007
Bed: 48""x24""
Max thickness: .25""",,"STAMPS Studio Canvas 

https://umich.instructure.com/courses/397994/pages/laser-cutting-and-vinyl-cutting"
Co2 laser,PLS 6.75 Laser Cutter,"STAMPS Studios, Penny W. Stamps School of Art & Design
2000 Bonisteel Blvd, Ann Arbor MI 48109-2069","Yes, Students must coordinate with studio staff for a demo session
and must take ""Laser cutting training quiz"" and read theough 
the ""Laser cutting guide"" See Canvas for video/quiz links. (link in website
column)


Signed form/Staff supervision required","Materials are student provided 
and staff approved. See website 
section for materials resources",TBD,STAMPS Students only,"Tool must be reserved via studio staff or Digifab studio sign up form &
Web checkout form.

Materials: Acrylic, Glass (etch), Wood, Ceramic (etch), Acetate, 
Cardboard, Paper and more

Tolerance:  ±0.007
Bed: 32""x18""
Max thickness: .25""",,"STAMPS Studio Canvas 

https://umich.instructure.com/courses/397994/pages/laser-cutting-and-vinyl-cutting"
Soft goods,Barudan Digital Embroidery Machine,"STAMPS Studios, Penny W. Stamps School of Art & Design
2000 Bonisteel Blvd, Ann Arbor MI 48109-2069","Yes, Students must coordinate with studio staff for a demo session

Signed form/Staff supervision required","Materials are student provided 
and staff approved. See website 
section for materials resources",TBD,STAMPS Students only,"Designs/files must be sent to stamps-embroiderymachine@umich.edu, for 
approval before setting up a reservation on the machine. 

Tool must be reserved via studio staff or Digifab studio sign up form &
Web checkout form.

Up to x15 colors per design

- Light to mid-weight fabrics with a tight weave will ensure the cleanest 
embroidery

 Hoop sizes:
- 12cm (circle)
- 15cm (circle)
- 18cm (circle)
- 240mm x 240 mm (square)
- 300 x 290mm (rectangle)
- 330 x 338mm (rectangle)",,"STAMPS Studio Canvas 

https://umich.instructure.com/courses/397994/pages/laser-cutting-and-vinyl-cutting

https://docs.google.com/document/d/12dSaQygAdQD9-fm3vtYELCfruh0Um1VQ_UMGEjSEstM/edit?usp=sharing"
CNC,Shopbot PRSalpha CNC Router,"STAMPS Studios, Penny W. Stamps School of Art & Design
2000 Bonisteel Blvd, Ann Arbor MI 48109-2069","Yes, Students must coordinate with studio staff for a demo session

Signed form/Staff supervision required","Materials are student provided 
and staff approved. See website 
section for materials resources",TBD,STAMPS Students only,"Designs/files must be approved by studio staff. Tool must be reserved via 
studio staff or Digifab studio sign up form & Web checkout form.

Working area: 103” x 49” x 8”

Min. spindle speed: 2000rpm
Max spindle speed: 18,000rpm
Max cut depth: Varies
Max too shaft dia.: .5""

Max cutting speed: 720 in/min

For use with: Tooling board, foam, plastics, wood and more with approval
from studio staff
Tolerance: ±0.005",,STAMPS Studio Canvas 
CNC,Roland MDX-540A CNC Milling Machine,"STAMPS Studios, Penny W. Stamps School of Art & Design
2000 Bonisteel Blvd, Ann Arbor MI 48109-2069","Yes, Students must coordinate with studio staff for a demo session

Signed form/Staff supervision required","Materials are student provided 
and staff approved. See website 
section for materials resources",TBD,STAMPS Students only,"""Designs/files must be approved by studio staff. Tool must be reserved via 
studio staff or Digifab studio sign up form & Web checkout form.

Working area: 12” x 18”

Number of axis: x4

Min. spindle speed: 400rpm
Max spindle speed: 12,000rpm
Max cut depth: Varies
Max too shaft dia.: .5""""

For use with: Tooling board, foam, plastics, wood and more with approval
from studio staff
Tolerance: ±0.005""",,STAMPS Studio Canvas 
Saws,Panel Saw,"STAMPS Studios, Penny W. Stamps School of Art & Design
2000 Bonisteel Blvd, Ann Arbor MI 48109-2069","No, can only be operated directly by staff","Materials are student provided 
and staff approved. See website 
section for materials resources",TBD,STAMPS Students only,For use with wood and MDF,,STAMPS Studio Canvas 
Specialty tools,Mayku Vacuum Forming Machine,"STAMPS Studios, Penny W. Stamps School of Art & Design
2000 Bonisteel Blvd, Ann Arbor MI 48109-2069","Yes, Students must coordinate with studio staff for a demo session

Signed form/Staff supervision required","Materials are student provided 
and staff approved. See website 
section for materials resources",TBD,STAMPS Students only,"Bed size: 200mm (L) × 200mm (W) x 130mm (H)

Temp: 160C - 340C.",,STAMPS Studio Canvas 
Outsource vendor,"ZYCI 
(Pronounced Zee-Key)","3286 Catalina Drive, Chamblee, GA 30341",N/A,Request quote,N/A,Any,"-Custom CNC machining
-3D printing 
-Laser marking",N/A,https://www.zyci.com/
Outsource vendor,Fictiv,N/A,N/A,Request quote,N/A,Any,"Custom CNC machining
-Electrical discharge machining
-Gear hobbing",N/A,https://www.fictiv.com/lp-ps/cnc-machining?utm_source=google&utm_medium=cpc&utm_campaign=cnc+manufacturing&utm_content=cnc+manufacturing&utm_term=manufacturing%20machine%20parts&gad_source=1&gclid=Cj0KCQiA3sq6BhD2ARIsAJ8MRwUwW4KrbRT7E1UZU1CuIdf2awfM7fF7zdtvUkt15W4qJEAsvoUyQ5AaAvCtEALw_wcB
Outsource vendor,Xometry,"6116 Executive Blvd
Ste. 800
North Bethesda, MD 20852",N/A,Request quote,N/A,Any,"-Additive manufacturig
-Custom CNC machining
-Sheet and Tube Fabrication 
-Injection moulding
-Plastic part production
-Die casting, Metal stamping
-Finishing  services
-Precision/Surface grinding
-Weldments",N/A,https://www.xometry.com/
Soft goods,Juki industrial grade sewing machine kessler,"Lurie Biomedical Engineering Building: 1101 Beal Ave, Ann Arbor, MI 48109",TDB,TDB,TDB,TDB,TDB,,
Soft goods,Singer 4411 Heavy duty,"Lurie Biomedical Engineering Building: 1101 Beal Ave, Ann Arbor, MI 48110",TDB,TDB,TDB,TDB,TDB,,
3D printing,Formlabs Form 3 SLA Printer,"Lurie Biomedical Engineering Building: 1101 Beal Ave, Ann Arbor, MI 48111",TDB,TDB,TDB,TDB,TDB,,
3D printing,Formlabs Form 2 SLA printer,"Lurie Biomedical Engineering Building: 1101 Beal Ave, Ann Arbor, MI 48112",TDB,TDB,TDB,TDB,TDB,,
3D printing,Makerbot FDM printer,"Lurie Biomedical Engineering Building: 1101 Beal Ave, Ann Arbor, MI 48113",TDB,TDB,TDB,TDB,TDB,,
3D printing,Dremel 3D printer,"Lurie Biomedical Engineering Building: 1101 Beal Ave, Ann Arbor, MI 48114",TDB,TDB,TDB,TDB,TDB,,
3D printing,Formlabs Form 1 SLA printer,"Lurie Biomedical Engineering Building: 1101 Beal Ave, Ann Arbor, MI 48115",TDB,TDB,TDB,TDB,TDB,,
Wood Working,"Wood planer 13""",CSED,TDB,TDB,TDB,TDB,TDB,,
3D printing,3D printer,CSED,TDB,TDB,TDB,TDB,TDB,,
Saws,Band saw,CSED,TDB,TDB,TDB,TDB,TDB,,
Other,Belt/Disc sander,CSED,TDB,TDB,TDB,TDB,TDB,,
Saws,Circular saw,CSED,TDB,TDB,TDB,TDB,TDB,,
Drill press,Drill press,CSED,TDB,TDB,TDB,TDB,TDB,,
Other,Grinder,CSED,TDB,TDB,TDB,TDB,TDB,,
Saws,Jigsaw,CSED,TDB,TDB,TDB,TDB,TDB,,
Saws,Miter saw,CSED,TDB,TDB,TDB,TDB,TDB,,
Saws,Recipricating saw,CSED,TDB,TDB,TDB,TDB,TDB,,
CNC,Router,CSED,TDB,TDB,TDB,TDB,TDB,,
Soft goods,Singer 4411 Heavy duty sewing machine ,CSED,TDB,TDB,TDB,TDB,"Number of stitch applications: 69

Adjustable stich width: 6mm

For use with: Lightweight fabrics, mediumweight fabrics, demin, 
2 layers of canvas with the correct needle, up to 4oz leather",,
Soft goods,Brother PE800 Embroidery machine ,CSED,TDB,TDB,TDB,TDB,TDB,,
Electronics,Solderig iron,CSED,TDB,TDB,TDB,TDB,TDB,,
Saws,Table saw,CSED,TDB,TDB,TDB,TDB,TDB,,
3D printing,Formlabs Form3 SLA printer,"Fabrication Underground; The Duderstadt Center 
2281 Bonisteel Blvd, Ann Arbor, MI 48109",,,,,,,https://www.dc.umich.edu/partners-2/ground-connections-dmc/fabrication-studio/
3D printing,Stratasys J850 Polyjet 3D printer,"Fabrication Underground; The Duderstadt Center 
2281 Bonisteel Blvd, Ann Arbor, MI 48109",,,,,,,https://www.dc.umich.edu/partners-2/ground-connections-dmc/fabrication-studio/
3D printing,BigRep Studio G2,"Fabrication Underground; The Duderstadt Center 
2281 Bonisteel Blvd, Ann Arbor, MI 48109",,,,,,,https://www.dc.umich.edu/partners-2/ground-connections-dmc/fabrication-studio/
3D printing,Asiga Max X,"Fabrication Underground; The Duderstadt Center 
2281 Bonisteel Blvd, Ann Arbor, MI 48109",,,,,,,https://www.dc.umich.edu/partners-2/ground-connections-dmc/fabrication-studio/
CNC,Bantam PCB,"Fabrication Underground; The Duderstadt Center 
2281 Bonisteel Blvd, Ann Arbor, MI 48109",,,,,,,https://www.dc.umich.edu/partners-2/ground-connections-dmc/fabrication-studio/
3D printing,Prusa MK4,"Fabrication Underground; The Duderstadt Center 
2281 Bonisteel Blvd, Ann Arbor, MI 48109",,,,,,,https://www.dc.umich.edu/partners-2/ground-connections-dmc/fabrication-studio/
Co2 laser,Epiloge Fusion Pro Laser Cutter,"Fabrication Underground; The Duderstadt Center 
2281 Bonisteel Blvd, Ann Arbor, MI 48109","Yes. Complete and ear your equipment certification via the Canvas line on 
Fabrication Ungergrounds website.",None,,,"Operating Modes – Optimized raster, vector or combined

Resolution – User controlled from 75 to 1200 dpi

Materials: Acrylic, Glass (etch), Wood, Ceramic (etch), Acetate, 
Cardboard, Paper and more

Tolerance:  ±0.007
Bed: 24” x 24 x 9” (609 x 609 x 228 mm)

Material is student provided and staff approved

Time on the machine must be reserved",,https://www.dc.umich.edu/partners-2/ground-connections-dmc/fabrication-studio/
Soft goods,Brother sewing machine,"Fabrication Underground; The Duderstadt Center 
2281 Bonisteel Blvd, Ann Arbor, MI 48109",,,,,,,https://www.dc.umich.edu/partners-2/ground-connections-dmc/fabrication-studio/
Specialty tools,Letter press,"
Shapiro Library: 919 S University Ave, Ann Arbor, MI 48109",,,,,,,
Specialty tools,Laser cutter,"
Shapiro Library: 919 S University Ave, Ann Arbor, MI 48109",,,,,,,
Specialty tools,Digital die cutter,"
Shapiro Library: 919 S University Ave, Ann Arbor, MI 48109",,,,,,,
Soft goods,Sewing machine,"
Shapiro Library: 919 S University Ave, Ann Arbor, MI 48109",,,,,,,
Electronics,Solder station,"
Shapiro Library: 919 S University Ave, Ann Arbor, MI 48109",,,,,,,
Specialty tools,Platen press,"
Shapiro Library: 919 S University Ave, Ann Arbor, MI 48109",,,,,,,
Specialty tools,Proofing press,"
Shapiro Library: 919 S University Ave, Ann Arbor, MI 48109",,,,,,,
Specialty tools,Pictoral printing ornaments ,"
Shapiro Library: 919 S University Ave, Ann Arbor, MI 48109",,,,,,,
,,,,,,,,,
,,,,,,,,,
,,"LBME makerspace, bersly, arts engine, BME design space ",,,,,,,
